Record number	In-ref ID	Individual ID	Predator	Predator common name	Predator  taxon	Predator lifestage	Type of feeding interaction	Predator length	Predator length unit	Predator dimension measured	Predator standard length	Predator fork length	Predator total length	Predator TL/FL/SL conversion reference	Standardised predator length	Predator measurement type	Predator length-mass conversion method	Predator length-mass conversion reference	Predator quality of length-mass conversion	Predator mass	Predator mass unit	Predator mass check	Predator mass check diff	Predator ratio mass/mass	SI predator mass	Diet coverage	Prey	Prey common name	Prey taxon	Prey length	Prey length unit	Prey conversion to length method	Prey quality of conversion to length	Prey conversion to length reference	SI prey length	Prey dimension measured	Prey width	Prey width unit	Prey measurement type	Prey mass	Prey mass unit	Prey mass check	Prey mass check diff	Prey ratio mass/mass	SI prey mass	Prey conversion to mass method	Prey conversion to mass reference	Prey quality of conversion to mass	Geographic location	Latitude	Longitude	Depth	Mean annual temp	SD annual temp	Mean PP	SD PP	Reference	Specific habitat	Notes / assumptions
32943	n/a	17425	Urophycis tenuis	White hake	ectotherm vertebrate	adult	piscivorous	430	mm	total length	370.23	0	430	Fishbase (species)	43	individual	M=0.004TL^3.172	Clay and Clay (1991)	1	607.33	g	4160.9	3553.5	6.8511	607.33	all	fish unidentified	fish	ectotherm vertebrate	160	mm	n/a	0	n/a	16	total length	n/a	n/a	individual	40.96	g	214.36	173.4	5.2333	40.96	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
4118	n/a	830	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	piscivorous	119	cm	standard length	119	123.19	136.49	Fishbase (species)	136.49	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	31849	g	133080	101230	4.1785	31849	all	fish	fish	ectotherm vertebrate	2.7	cm	n/a	0	n/a	2.7	Standard length	n/a	n/a	individual	0.19683	g	1.0301	0.83325	5.2333	0.19683	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
2570	n/a	754	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	predacious	132	cm	standard length	132	136.65	151.4	Fishbase (species)	151.4	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	43351	g	181630	138280	4.1898	43351	all	crustacean	crustacean	ectotherm invertebrate	2.2	cm	n/a	0	n/a	2.2	Eye to end of abdomen	n/a	n/a	individual	0.93879	g	0.55725	-0.38154	0.59358	0.93879	M=(0.015*(L*10)^3.573)/1000	Benke et al (1999)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
9859	n/a	3464	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	310	mm	total length	278.38	0	310	Fishbase (species)	31	individual	M=0.0039SL^3.16	Schaefer (1960)	1	143.26	g	1559.1	1415.8	10.883	143.26	all	fish unidentified	fish	ectotherm vertebrate	62	mm	n/a	0	n/a	6.2	total length	n/a	n/a	individual	2.3833	g	12.472	10.089	5.2333	2.3833	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
17643	XG35	7032	Xiphias gladius	Swordfish	ectotherm vertebrate	adult	piscivorous	115	cm	lower jaw to fork length	109.48	115	126.16	Fishbase (species)	126.16	individual	M=0.0078L^3.21	Chancollon et al. (2006)	1	43251	g	105070	61822	2.4294	43251	all	Symbolophorus veranyi	Lanternfish	ectotherm vertebrate	9.787	cm	L = 10^ ((logM-log(0.0156))/2.912)	1	Hulley (1990)	9.787	mass	n/a	n/a	individual	11.965	g	49.06	37.096	4.1004	11.965	Weighed	n/a	0	Off the Bay of Biscay	44º00'N	16º00'W	3798	15.6	2.7	469	51	Chancollon et al (2006)	Off the continental shelf	None
1237	91056	304	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	269	cm	curved fork length	255.01	269	289.18	Fishbase (species)	269	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	310820	g	1018700	707860	3.2774	310820	all	Scomber scrombus	Atlantic mackerel	ectotherm vertebrate	16	cm	n/a	0	n/a	16	total length	n/a	n/a	individual	27.197	g	214.36	187.16	7.8818	27.197	M=0.0034*L^3.2414	Dorel (1986)	1	Stellwagen Bank, Gulf of Maine, New England	42º40'N	70º15'W	63	10.7	5.4	1002	98	Chase, B.C. (2002)	Shelf	None
23907	n/a	11940	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	770	mm	total length	0	682.99	770	Fishbase (species)	77	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	1830	g	23892	22062	13.056	1830	all	fish unidentified	fish	ectotherm vertebrate	130	mm	n/a	0	n/a	13	total length	n/a	n/a	individual	21.97	g	114.98	93.006	5.2333	21.97	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
34481	n/a	NA	Dicentrarchus labrax	European sea bass	ectotherm vertebrate	juvenile	predacious	33	mm	total length	0	0	33	n/a	3.3	mid-class	M=0.0123TL^2.9554	Dorel (1986)	1	0.4191	g	1.8807	1.4616	4.4874	0.4191	Mysids	Schistomysis spiritus	mysid	ectotherm invertebrate	2.54	mm	n/a	0	n/a	0.254	total length	n/a	n/a	individual	6.8836e-5	g	8.5759e-4	7.8875e-4	12.459	6.8836e-5	M=0.00000339*(L*10)^3.23	Morris et al (1988)	4	Oxwich Bay, Wales	51º52'N	04º10'W	8	12.2	3.9	1399	NA	Lancaster (1991)	estuary/coastal	Predator length mid-class
19842	n/a	8272	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	590	mm	total length	518.61	590	590	Fishbase (species)	59	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	1376.6	g	10748	9371.6	7.8077	1376.6	all	fish unidentified	fish	ectotherm vertebrate	90	mm	n/a	0	n/a	9	total length	n/a	n/a	individual	7.29	g	38.151	30.861	5.2333	7.29	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
29850	n/a	15965	Pollachius virens	Saithe	ectotherm vertebrate	adult	piscivorous	101	cm	total length	83.325	88.779	101	Fishbase (species)	101	individual	M=0.0103SL^2.9630	Bedford et al. (1986)	1	5059.3	g	53919	48860	10.657	5059.3	fish	Scomber scombrus	Mackerel	ectotherm vertebrate	26	cm	n/a	0	n/a	26	total length	n/a	n/a	individual	131.21	g	919.81	788.6	7.0101	131.21	M=0.0034*L^3.2414	Dorel (1986)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
236	n/a	156	Rhizoprionodon terraenovae	Atlantic sharpnose shark	ectotherm vertebrate	adult	predacious/piscivorous	280	mm	fork length	270.79	280	337.4	Fishbase (species)	33.74	individual	M=0.0056SL^2.897	Bonfil et al. (1990)	1	79.161	g	2010.1	1930.9	25.392	79.161	all	teleosts/molluscs/crustaceans	teleosts/molluscs/crustaceans	mixed	108.22	mm	n/a	0	n/a	10.822	length	n/a	n/a	individual	12.674	g	66.329	53.654	5.2333	12.674	M=0.01L^3	Generalised	5	Crooked Island Sound, Florida	30º00'N	85º30'W	5	23.4	4.8	866	214	Bethea et al (2006)	Coastal Bay	Contiguous predators of same length assumed same individual
4026	n/a	825	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	predacious	122	cm	standard length	122	126.29	139.93	Fishbase (species)	139.93	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	34296	g	143400	109100	4.1812	34296	all	unidentified squid	squid	ectotherm invertebrate	4.4	cm	n/a	0	n/a	4.4	Mantle length	n/a	n/a	individual	3.6874	g	4.458	0.77052	1.209	3.6874	M=0.0004(ML*10)^2.4124	Hunsicker & Essington (2006)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
659	91026	248	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	201	cm	curved fork length	190.55	201	216.08	Fishbase (species)	201	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	132190	g	424980	292790	3.215	132190	all	Scomber scrombus	Atlantic mackerel	ectotherm vertebrate	17	cm	n/a	0	n/a	17	total length	n/a	n/a	individual	33.102	g	257.11	224.01	7.7673	33.102	M=0.0034*L^3.2414	Dorel (1986)	1	Jeffreys Ledge, Gulf of Maine, New England	42º80'N	70º10'W	108	10.6	5.6	1076	110	Chase, B.C. (2002)	Shelf	None
10496	n/a	4044	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	predacious	370	mm	total length	332.26	0	370	Fishbase (species)	37	individual	M=0.0039SL^3.16	Schaefer (1960)	1	250.57	g	2650.8	2400.3	10.579	250.57	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	40	mm	n/a	0	n/a	4	total length	n/a	n/a	individual	1.3934	g	3.3493	1.9559	2.4037	1.3934	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
2763	n/a	759	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	predacious	67	cm	standard length	67	69.358	76.849	Fishbase (species)	76.849	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	5769.8	g	23752	17982	4.1165	5769.8	all	crustacean	crustacean	ectotherm invertebrate	3	cm	n/a	0	n/a	3	Eye to end of abdomen	n/a	n/a	individual	2.8434	g	1.413	-1.4304	0.49693	2.8434	M=(0.015*(L*10)^3.573)/1000	Benke et al (1999)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
11331	n/a	4776	Cynoscion regalis	Weakfish	ectotherm vertebrate	adult	piscivorous	420	mm	total length	370.04	420	420	Fishbase (species)	42	individual	M=0.0088SL^3.0	Crozier and Hecht (1913)	1	445.91	g	3877.3	3431.4	8.6953	445.91	all	fish unidentified	fish	ectotherm vertebrate	20	mm	n/a	0	n/a	2	total length	n/a	n/a	individual	0.08	g	0.41867	0.33867	5.2333	0.08	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	None
25044	n/a	12997	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	880	mm	total length	0	780.56	880	Fishbase (species)	88	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	2870.4	g	35664	32793	12.425	2870.4	all	fish unidentified	fish	ectotherm vertebrate	111	mm	n/a	0	n/a	11.1	total length	n/a	n/a	individual	13.676	g	71.573	57.896	5.2333	13.676	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
15678	Ge45	6990	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	63	cm	standard length	63	66.386	71.001	Fishbase (species)	71.001	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5084.4	g	18731	13647	3.6841	5084.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	3.7671	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	3.7671	mass	n/a	n/a	individual	0.30599	g	2.7978	2.4918	9.1435	0.30599	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
32094	6534	16814	Nototheniops larseni	Antarctic fish	ectotherm vertebrate	larva	predacious	19.97	mm	standard length	19.97	0	0	n/a	1.997	individual	M=0.0159SL^3	Froese and Pauly (2007)	2	0.12663	g	0.41679	0.29016	3.2914	0.12663	all	Oithona sp.	copepod	ectotherm invertebrate	0.43	mm	n/a	0	n/a	0.043	cephalothorax length	n/a	n/a	individual	4.62e-7	g	4.1609e-6	3.6989e-6	9.0062	4.62e-7	M=(9.47x10-7*(L*10000)^2.16)/1000000	Kiorboe & Sabatini (1994)	2	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1990)	Seasonal Pack Ice Zone	None
19989	n/a	8417	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	440	mm	total length	386.76	440	440	Fishbase (species)	44	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	556.58	g	4458	3901.4	8.0095	556.58	all	fish unidentified	fish	ectotherm vertebrate	210	mm	n/a	0	n/a	21	total length	n/a	n/a	individual	92.61	g	484.66	392.05	5.2333	92.61	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
16073	Sami 19	6998	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	predacious	62	cm	standard length	62	65.332	69.874	Fishbase (species)	69.874	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	4856.9	g	17854	12997	3.6759	4856.9	all	Hyperidae	amphipod	ectotherm invertebrate	19.973	mm	L = 10^((log(M*1000)-log(0.006))/3.015)	4	Benke et al. (1999)	1.9973	mass	n/a	n/a	individual	0.05	g	0.41696	0.36696	8.3391	0.05	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
11855	n/a	5250	Paralichthys dentatus	Summer flounder	ectotherm vertebrate	adult	piscivorous	370	mm	total length	321.74	0	370	Fishbase (species)	37	individual	M=0.0054SL^3.117	Henderson (1979)	1	269.95	g	2650.8	2380.9	9.8197	269.95	all	fish unidentified	fish	ectotherm vertebrate	40	mm	n/a	0	n/a	4	total length	n/a	n/a	individual	0.64	g	3.3493	2.7093	5.2333	0.64	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
352	89120	195	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	173	cm	curved fork length	164	173	185.98	Fishbase (species)	173	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	85121	g	270970	185850	3.1833	85121	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	12	cm	n/a	0	n/a	12	total length	n/a	n/a	individual	4.6267	g	90.432	85.805	19.546	4.6267	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Jeffreys Ledge, Gulf of Maine, New England	42º80'N	70º10'W	108	10.6	5.6	1076	110	Chase, B.C. (2002)	Shelf	None
6270	n/a	965	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	piscivorous	112	cm	standard length	112	118.02	125.66	Fishbase (species)	125.66	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	15749	g	103850	88102	6.5942	15749	all	fish	fish	ectotherm vertebrate	19	cm	n/a	0	n/a	19	Standard length	n/a	n/a	individual	68.59	g	358.95	290.36	5.2333	68.59	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
23676	n/a	11730	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	780	mm	total length	0	691.86	780	Fishbase (species)	78	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	1911.4	g	24835	22924	12.993	1911.4	all	fish unidentified	fish	ectotherm vertebrate	40	mm	n/a	0	n/a	4	total length	n/a	n/a	individual	0.64	g	3.3493	2.7093	5.2333	0.64	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
17400	XG13	7011	Xiphias gladius	Swordfish	ectotherm vertebrate	adult	predacious	92	cm	lower jaw to fork length	87.584	92	100.92	Fishbase (species)	100.92	individual	M=0.0078L^3.21	Chancollon et al. (2006)	1	21131	g	53797	32667	2.5459	21131	all	Funchalia woodwardii	shrimp	ectotherm invertebrate	66.927	mm	L = 10^((log(M*1000)-log(0.015))/3.573)	4	Benke et al. (1999)	6.6927	mass	n/a	n/a	individual	50	g	15.689	-34.311	0.31377	50	Weighed	n/a	0	Off the Bay of Biscay	44º00'N	16º00'W	3798	15.6	2.7	469	51	Chancollon et al (2006)	Off the continental shelf	None
7382	n/a	1323	Myctophum asperum	Myctophidae fish larva	ectotherm vertebrate	larva	predacious	8.8	mm	standard length	8.8	9.988	11.475	Fishbase (species)	1.1475	individual	M=0.0206SL^2.6286	Froese and Pauly (2007)	2	0.014721	g	0.079079	0.064358	5.3719	0.014721	all	Oncaea sp.	Oncaea sp.	microzooplankton	1280	µm	n/a	0	n/a	0.128	length & max width	2.8000E+02	µm	individual	2.5738e-5	g	1.0975e-4	8.4012e-5	4.2641	2.5738e-5	M=(0.0000000251(L*10000)^2.9)/1000000	Satapoomin (1999)	2	Western North Pacific	37º00'N	143º00'E	3322	17.9	4.9	601	106	Sassa et al (2004)	transition region	Contiguous predators of same length assumed same individual
17608	XG33	7030	Xiphias gladius	Swordfish	ectotherm vertebrate	adult	predacious	104	cm	lower jaw to fork length	99.008	104	114.09	Fishbase (species)	114.09	individual	M=0.0078L^3.21	Chancollon et al. (2006)	1	31321	g	77714	46393	2.4812	31321	all	Gonatus steenstrupi	Squid	ectotherm invertebrate	101.22	mm	L = 10 ^((logM-log(0.0004))/2.4124)	4	Personal communication (Mary Hunsicker)	10.122	mass	n/a	n/a	individual	27.516	g	54.275	26.759	1.9725	27.516	Weighed	n/a	0	Off the Bay of Biscay	44º00'N	16º00'W	3798	15.6	2.7	469	51	Chancollon et al (2006)	Off the continental shelf	None
5342	n/a	907	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	piscivorous	105	cm	standard length	105	110.64	117.81	Fishbase (species)	117.81	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	13059	g	85571	72512	6.5526	13059	all	fish	fish	ectotherm vertebrate	3.9	cm	n/a	0	n/a	3.9	Standard length	n/a	n/a	individual	0.59319	g	3.1044	2.5112	5.2333	0.59319	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
15673	Ge45	6990	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	63	cm	standard length	63	66.386	71.001	Fishbase (species)	71.001	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5084.4	g	18731	13647	3.6841	5084.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.3614	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.3614	mass	n/a	n/a	individual	0.54661	g	4.3417	3.7951	7.9429	0.54661	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
27382	n/a	15078	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	predacious	1170	mm	total length	994.05	0	1170	Fishbase (species)	117	individual	M=0.0023TL^3.1	van der Elst (1981)	1	5930.7	g	83818	77887	14.133	5930.7	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	100	mm	n/a	0	n/a	10	total length	n/a	n/a	individual	23.883	g	52.333	28.45	2.1912	23.883	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
22452	n/a	10656	Raja ocellata	Winter skate	ectotherm vertebrate	adult	piscivorous	930	mm	total length	0	0	930	n/a	93	individual	M=0.0022TL^3.295	Sulikowski et al. (2003)	1	6738.7	g	42095	35356	6.2467	6738.7	all	fish unidentified	fish	ectotherm vertebrate	145	mm	n/a	0	n/a	14.5	total length	n/a	n/a	individual	30.486	g	159.54	129.06	5.2333	30.486	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
15005	Ge27	6977	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	68	cm	standard length	68	71.654	76.636	Fishbase (species)	76.636	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	6325.5	g	23555	17229	3.7237	6325.5	all	Arctozenus risso	Ribbon barracudina	ectotherm vertebrate	12.01	cm	L = 10 ^((logM-log(0.0019))/2.946)	3	Froese & Pauly (2007)	12.01	mass	n/a	n/a	individual	2.8778	g	90.651	87.773	31.501	2.8778	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
24364	n/a	12364	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	810	mm	total length	0	718.47	810	Fishbase (species)	81	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	2170.7	g	27812	25641	12.813	2170.7	all	fish unidentified	fish	ectotherm vertebrate	45	mm	n/a	0	n/a	4.5	total length	n/a	n/a	individual	0.91125	g	4.7689	3.8576	5.2333	0.91125	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
27672	n/a	15310	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	predacious	1120	mm	total length	951.57	0	1120	Fishbase (species)	112	individual	M=0.0023TL^3.1	van der Elst (1981)	1	5179.7	g	73525	68345	14.195	5179.7	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	50	mm	n/a	0	n/a	5	total length	n/a	n/a	individual	2.7835	g	6.5417	3.7581	2.3501	2.7835	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
32016	6487	16779	Nototheniops larseni	Antarctic fish	ectotherm vertebrate	larva	planktivorous	20.51	mm	standard length	20.51	0	0	n/a	2.051	individual	M=0.0159SL^3	Froese and Pauly (2007)	2	0.13718	g	0.45152	0.31434	3.2914	0.13718	all	E. superba eggs	krill eggs	egg	0.25	mm	n/a	0	n/a	0.025	external diameter	n/a	n/a	individual	1.2593e-6	g	8.1771e-7	-4.4164e-7	0.64931	1.2593e-6	M=0.000068283D-0.00000044773	Huntley & Lopez (1992)	4	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1990)	Seasonal Pack Ice Zone	None
4991	n/a	872	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	piscivorous	105	cm	standard length	105	110.64	117.81	Fishbase (species)	117.81	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	13059	g	85571	72512	6.5526	13059	all	fish	fish	ectotherm vertebrate	2.9	cm	n/a	0	n/a	2.9	Standard length	n/a	n/a	individual	0.24389	g	1.2764	1.0325	5.2333	0.24389	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
12458	n/a	5790	Raja erinacea	Little skate	ectotherm vertebrate	adult	predacious	370	mm	total length	370	370	370	Fishbase (species)	37	individual	M=0.0027SL^3.184	Waring (1984)	1	265.78	g	2650.8	2385.1	9.9739	265.78	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	5	mm	n/a	0	n/a	0.5	total length	n/a	n/a	individual	0.002206	g	0.0065417	0.0043357	2.9655	0.002206	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
3718	n/a	802	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	predacious	120	cm	standard length	120	124.22	137.64	Fishbase (species)	137.64	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	32651	g	136460	103810	4.1794	32651	all	unidentified squid	squid	ectotherm invertebrate	2.9	cm	n/a	0	n/a	2.9	Mantle length	n/a	n/a	individual	1.3488	g	1.2764	-0.072447	0.94629	1.3488	M=0.0004(ML*10)^2.4124	Hunsicker & Essington (2006)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
27007	n/a	14779	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	piscivorous	1150	mm	total length	977.06	0	1150	Fishbase (species)	115	individual	M=0.0023TL^3.1	van der Elst (1981)	1	5622	g	79592	73970	14.157	5622	all	fish unidentified	fish	ectotherm vertebrate	66	mm	n/a	0	n/a	6.6	total length	n/a	n/a	individual	2.875	g	15.046	12.171	5.2333	2.875	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
19205	n/a	7666	Lophius americanus	Goosefish	ectotherm vertebrate	adult	piscivorous	810	mm	total length	688.5	810	810	Fishbase (species)	81	individual	M=0.0170SL^3.0010	Armstrong et al. (1992)	1	5571.8	g	27812	22240	4.9915	5571.8	all	fish unidentified	fish	ectotherm vertebrate	180	mm	n/a	0	n/a	18	total length	n/a	n/a	individual	58.32	g	305.21	246.89	5.2333	58.32	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
25825	n/a	13716	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	960	mm	total length	0	851.52	960	Fishbase (species)	96	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	3848.8	g	46301	42452	12.03	3848.8	all	fish unidentified	fish	ectotherm vertebrate	310	mm	n/a	0	n/a	31	total length	n/a	n/a	individual	297.91	g	1559.1	1261.2	5.2333	297.91	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
5495	n/a	914	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	piscivorous	106	cm	standard length	106	111.7	118.93	Fishbase (species)	118.93	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	13423	g	88039	74616	6.5587	13423	all	fish	fish	ectotherm vertebrate	4.7	cm	n/a	0	n/a	4.7	Standard length	n/a	n/a	individual	1.0382	g	5.4334	4.3952	5.2333	1.0382	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
